Name,Botanical_name,Botanical_family,Synonyms,CAS_No,FL_No,FEMA_No,NAS_No,CoE_No,EINECS_No,JECFA_No,E_No,Description,Consumption,Individual,CoE,FDA,FDA_other,JECFA,Trade_association_guidelines,IOFI,Specifications,Reported_uses_ppm,Food_Category_Usual_Max,Aroma_threshold_values,Taste_threshold_values,Empirical_Formula_MW,Synthesis,Natural_occurrence,EAFUS_No,Derivatives,Derivative_names,NOTE,Foreign_names,Essential_oil_composition,Genus_Species,Composition,INS_No,Animal_family,Physical_chemical_characteristics
HOPS,"Humulus lupulus L",Cannabaceae,"European hops; Common hops; Lupulin",,,,,,,,,"Hops are perennial climbing vines that grow wild and also are cultivated extensively in several central European coun-tries, North America, Brazil and Australia. It has shoots up to 10 m (33 ft) in length, opposite leaves, greenish-yellow flowers (June to September) and ovoidal fruits surrounded by a calix. Hops have male and female flowers on separate plants. The part used is the female flower catkins from the climbing vine and the (lupulin) glandular trichomes dried at 38°C maximum. Hops has a bitter, tonic, aromatic flavor ",,,,,,,,,,,,,,,,,,"Infusion (1.5%), fluid extract, tincture (20% in 40% ethanol), concrete and absolute ",,,"Houblon (Fr ), Hopfen (Ger ), Lupulo (Sp ), Luppolo (It )",,,"The main constituents of lupulin are a bitter resin containing humulone, lupulone, lactaric acid, cerotic acid and ceryl alcohol. Hops and its volatile oil have been found to contain a number of complex mixture of compounds. More than 100 of these chemicals have been characterized. The resinous bitter principles in the plant include humulone, lupulone and other compounds ",,,
"HOPS EXTRACT",,,,8060-28-4,,2578,2578,,,,,"See Hops","325000.00 lb","0.2754 mg/kg/day",,"21 CFR 182.20, 173 et seq ",,,"115.533 mg",Natural,,"(FEMA, 1994)","[['Alcoholic beverages', '151.20', '343.60'], ['Gelatins, puddings', '180.00', '200.00'], ['Baked goods', '600.00', '720.00'], ['Nonalcoholic beverages', '180.00', '200.00'], ['Frozen dairy', '167.30', '185.90'], ['Soft candy', '280.00', '400.00']]",,"Taste characteristics at 5 ppm; woody, terpy, malty and herbaceous with a tropical nuance ",,,,,,,,,,,,,,
"HOPS EXTRACT MODIFIED",,,,8016-25-9,,,1091,,,,,"See Hops","1,485,000.00 lb ","1.2584 mg/kg/day",,"21 CFR 182.20",,,,Natural,,,,,,,,,,,,,,,,,,,
"HOPS EXTRACT SOLID",,,,977083-25-2,,2579,2579,,,,,"See Hops","43666.67 lb","0.03700 mg/kg/day",,"21 CFR 182.20",,,12.833,Natural,,"(FEMA, 1994)","[['Alcoholic beverages', '14.88', '29.67'], ['Gelatins, puddings', '20.00', '30.00'], ['Baked goods', '74.18', '89.18'], ['Nonalcoholic beverages', '9.72', '12.78'], ['Frozen dairy', '20.00', '30.00'], ['Soft candy', '41.48', '59.34']]",,,,,,,,,,,,,,,,
"HOPS OIL",,,"Hop absolute; Hop extract; Hop extract EI; Hop extract EII; Hop oil; Hops oil; Oblonia absolute; Oil of hops; Oils, hop",8007-04-03,,2580,2580,,,,,"The oil is present in hops in amounts of approximately 0.5%; yields after distillation range around 0.25%. The oil exhib-its different physical–chemical constants depending on the source","105.00 lb","0.00008898 mg/kg/day",,"21 CFR 182.20","See Hops",,"1.443 mg",Natural,"(FCC, 1996); Acid value; Not more than 11.0; Saponification value; Between 14 and 69; Angular rotation; Between –2° and +2.5°; Solubility in alcohol; Passes test; Heavy metals (as Pb); Passes test; Specific gravity; Between 0.825 and 0.926 (25°C); Refractive index; Between 1.470 and 1.494 (20°C); Specifications for other hops oil:; 0.855 to ; 0.899); Optical rotation:; 1.4700 to 1.4940 (1.4852 to 1.4936 at 20°C); Acid ; value:; turbid in 95% alcohol. North American ; oil:; 44.1 to ; 61; solubility:; (Lupulin — 0.8312) (Hops — 0.8265); opti-; cal rotation:; (Lupulin — 0.91) (Hops — 1.06); ester value:; (Lupulin — 1:0.95 to 0.99 in 95% ; ethanol) (Burdock, 1997) ","(FEMA, 1994)","[['Alcoholic beverages', '1.66', '3.64'], ['Gelatins, puddings', '15.22', '30.25'], ['Chewing gum', '1.26', '1.46'], ['Hard candy', '0.36', '0.50'], ['Baked goods', '6.04', '9.80'], ['Nonalcoholic beverages', '1.12', '1.65'], ['Frozen dairy', '4.33', '12.04'], ['Soft candy', '3.87', '8.66']]","Aroma characteristics at 1.0%; floral, sweet, fruity, slightly green tagette, with a herbaceous, terpy and woody vegetative note ","Taste characteristics at 5.0 ppm; floral, sweet, fruity, woody, citrus terpy with a tropical nuance ",,,,,,,,,"The. oil. contains. β-myrcene,. dipentene,. α- and. β-carophyllene,. humulone,. linalool,. methyl. nonyl ketone and other substances (Burdock, 1997). The volatile oil primarily is composed of humulene (α-caryophyllene), myrcene, β-caryophyllene and farnesene, which account for more than 90% of the oil fraction *",,,,,"It is a light yellow to greenish-yellow liquid. Age darkens the color and the oil tends to become viscous. It is soluble in most fixed oils, with an opalescent appearance. Hops oil is practically insoluble in propylene glycol "
"HOREHOUND (HOARHOUND)","Marrubium vulgare (Tourn ) L","Lamiaceae (Labiatae)","Hoarhound; White horehound",977001-59-4,,,6200,,,,,"Horehound is a perennial herb indigenous to Britain, but commonly grows wild on arid or sandy soils in a maritime or mountain climate. The herb is widespread throughout Europe, Asia and North Africa as well as the United States and Canada. The plant grows to a height of approximately 100 cm (3 ft) and has oval leaves covered with white, wooly hairs. Horehound bears small, white flowers in dense whorls that bloom from May to October. The flower is the part used. Horehound has a bitter, tonic, balsamic odor ","<1.00 lb",,,"21 CFR 182.10, 528.10",,,,,,,,,,,,,,"Fluid extract and tincture. Marrubiin, a lactone with a diterpene structure, is the characteristic constituent responsible for the pharmacologic properties of the extracts ",,,"Marrube blanc (Fr ), Gemeiner Andorn (Ger ), Marrubio blanco, Marroyo (Sp ), Marrubio (It )","The bitter principle of the horehound is marrubiin (volatile oil), a diterpene lactone. In addition, hore-hound contains a sterolin, an esterfied form and a sesquiterpene. Flavonoids isolated from horehound include apigerin, luteolin, apigerin 7-glycoside, luteolin 7-glycoside, quercetin 3-rhamnoglycoside and quercetin 3-glycoside ",,,,,
"HOREHOUND EXTRACT",,,,977024-85-3,,2581,2581,,,,,"See Horehound (Hoarhound)","2416.67 lb","0.002048 mg/kg/day",,"21 CFR 182.20, 528.20",,,"30.224 mg",Natural,,"(FEMA, 1994)","[['Alcoholic beverages', '164.20', '254.80'], ['Nonalcoholic beverages', '10.22', '13.14'], ['Baked goods', '120.00', '162.10'], ['Soft candy', '518.00', '730.00'], ['Frozen dairy', '6.38', '9.34'], ['Hard Candy', '6218.00', '6231.00']]",,,,,,,,,,,,,,,,
"HOREHOUND SOLID EXTRACT",,,,977089-41-0,,,8316,,,,,"See Horehound (Hoarhound)","2416.67 lb","0.002048 mg/kg/day",,"21 CFR 182.20, 528.20",,,,Natural,,,,,,,,,,,,,,,,,,,
HORSEMINT,"Monarda punctata L","Lamiaceae (Labiatae)","Monarda; Wild bergamot",,,,,,,,,"Various odorous erect herbs approximately 30 to 90 cm (12 to 35 in ) tall. M. punctata has toothed leaves and large, yellow or white flowers clustered in a few verticles surrounded by bracts. It has petioled, lanceolate leaves narrowing at the base and a nearly smooth corolla, yellowish with the upper lip spotted purple. The plant grows wild in the United States and is used for the extraction of thymol. The whole plant is used. Horsemint has a harsh, burning aromatic flavor and a thymol-like odor Horsemint oil is obtained by distillation of the freshly cut or partially dried herb in approximately 1 to 3% yields, respectively. The oil is obtained by distillation of the freshly cut or partially dried herb in approximately 1 to 3% yields, respectively. The oil is a yellowish-red to brown liquid with an odor reminiscent of thymol ",,,,"See Horsemint Leaves Extract",,,,,,,,,,,,,,"Fluid extract",,,"Monarde ponctuee (Fr ), Monarda (Ger ), Monarda (Sp ), Monarda (It )","The main constituents include carvacrol, traces of limonene, and thymol hydroquionone. Other Monarda varieties also growing in the United States. — M. fistulosa, M. didyma and others — contain much less thymol ",,,,,"The oil is a yellowish-red to brown liquid with an odor reminiscent of thymol. On standing, the oil deposits large crystals of thymol (44 to 61% of the oil) "
"HORSEMINT LEAVES EXTRACT",,,,8006-85-7,,2582,2582,,,,,"See Horsemint",,,,"21 CFR 182.20, 528.20",,,"52.000 mg",Natural,"(Burdock, 1997); Optical rotation; –2° to +1°; Specific gravity; 0.923 to 0.933 (20°C); Refractive index; 1.5020 to 1.5040 (20°C)","(FEMA, 1994)","[['Nonalcoholic beverage', '500.00', '600.00']]",,,,,,,,,,,,,,,,
HORSERADISH,"Armoracia lapathifolia Gilib. (Cochlearia armoracia L. Fries)","Cruciferae (Brassicaceae)",Pepperroot,977050-94-4,,,6201,,,,,"Horseradish is a large, perennial, herbaceous plant, native to central–eastern Europe. It has a thick, branched taproot, vertical rhizomes, white flowers and oval pods. Some hybrids may be sterile and, hence, the plant is generally propagated though root cuttings. The parts used are the rhizomes and roots. To preserve the quality, the roots are commonly dehydrated, freeze-dried and powdered. Horseradish has a sharp, burning, pungent, aromatic flavor and an odor similar to mustard seed ","2,716,666.67 lb ","2.3022 mg/kg/day",,"21 CFR 182.10, 155.200, 582.10","HOC (1992)",,,,,,,,,,,,,"Fluid extract, tincture (20% in 25% ethanol), essential oil (experimental production only), and oleoresin ",,,"Raifort (Fr ), Petersilienwurzel (Ger ), Rabano picante (Sp ), Rafano rusticano cren (It )",,,"The pungency of horseradish is due to the release of butylthiocyanate and allylisothiocyanate. Horseradish also con-tains the glucosinolates sinigrin and 2-phenylethyl glycosinolate * The oil contains sinigrin and sinigrin-derived allyl, isothiocyanate dially sulfide, and phenethyl and phenylpropyl isothiocyanate ",,,
"HORSERADISH OIL",,,,977089-42-1,,,6311,,,,,"Horseradish oil is obtained by water- and steam-distillation of the comminuted roots, soaked in water. The oil has an intensely sharp odor and lacrimatory effect, reminiscent of mustard oil, but even more pungent or irritating. Also see Horseradish ","15.00 lb","0.00001271 mg/kg/day",,,"See Horseradish",,,Natural,,,,,,,,,,,,,,,,,,,"The essential oil is a pale-yellow or almost colorless, mobile liquid "
"HYACINTH (Flowers)","Hyacinthus orientalis L",Liliaceae,,,,,6085,,,,,"Bulbous and scapose herbs having a bell-shaped corolla with a prominent tube and short limb. The plant, probably native to Asia Minor or the Balkans, is cultivated extensively for ornamental and extractive purposes, especially in the Netherlands and France. The part used is the flower. Hyacinth has a sweet, floral, slightly green, persistent odor similar to hyacinth flowers ",,,,"21 CFR 172.510",,,,Natural,,,,,,,,,977047-90-7,"Concrete and absolute. The concrete is extracted from flowers in approximately 0.13 to 0.22% yields using petroleum ether. It is a greenish-brown, waxy mass. The absolute, prepared by alcoholic extraction of the concrete in approximately 10 to 14% yields, is a viscous, reddish-brown liquid exhibiting a characteristic, persistent scent of hyacinth flowers ",,,"Jacinthe (Fr ), Hyazinthe (Ger ), Jacinto (Sp ), Giacinto (It )",,,"Two novel anthocyanins, delphinidin 3-O-(6-O-cis-p-coumaroyl-beta-D-glucoside)-5-O-(6-O-malonyl-beta- D-gluco side) and petunidin 3-O-(6-O-trans-p-coumaroyl-beta-D-glucoside)-5-O-(6-O-malonyl-beta-D-glucoside), were isolated from the blue flowers of H. orientalis cv. Delft Blue. Five known acylated anthocyanins, namely, delphinidin 3-O-(6-O-trans-p-coumaroyl-beta-D-glucoside)-5-O-(6-O-beta-D-glucoside),. delphinidin. 3-O-(6-O-trans-caffeoyl-beta-D-gluco side)-5-O-(6-O-malonyl-beta-D-glucoside), delphinidin 3-O-(6-O-trans-p-coumaroyl-beta-D-glucoside)-5-O-(6-O-malonyl-beta-D-glucoside),. cyanidin 3-O-(6-O-trans-p-coumaroyl-beta-D-glucoside)-5-O-(6-O-malonyl-beta-D-glucoside). and. pelargonidin 3-O-(6-O-trans-p-coumaroyl-beta-D-glucoside)-5-O-(6-O-malonyl-beta-D-glucoside), were also isolated from these flowers *",,,
"HYACINTH ABSOLUTE",,,,8023-94-7,,,6084,,,,,"Extraction is performed either via concrete or by adsorption method. It has an intensely sweet, green-floral, but some-what sharp and at first unpleasant odor. Also see Hyacinth ","1.67 lb","0.00000141 mg/kg/day",,"21 CFR 172.510",,,,Natural,,,,,,,,,977086-46-6,,,,,,,,,,"The absolute is a reddish-brown or dark-brown to greenish-brown, viscous liquid "
"HYDROGEN SULFIDE",,,"Phenol, 4-ethoxy-; Acide sulphhydrique; Dihydrogen monosulfide; Dihydrogen sulfide; Hydrogen sulfide; Hydrogen sulfide (H2S); Hydrogen sulfuric acid; Hydrogen sulphide; Hydrogene sulphure; Hydrosulfuric acid; Sewer gas; Stink damp; Sulfur hydride; Sulfureted hydrogen",7783-06-04,16.007,3779,8753,647,231-977-3,,,"Hydrogen sulfide has the characteristic odor of rotten eggs","<1.00 lb","0.00000149 mg/kg/day","1 ppm",,,,"6.86432 mg","Nature Identical","(Burdock, 1997); Appearance; Gas; Solubility; Soluble in water; Boiling point; –60 to –61°C; Specific gravity; 1.5392 at 760 mmHg and 0°C","(FEMA, 1994)","[['Alcoholic beverages', '0.70', '2.00'], ['Gelatins, puddings', '1.00', '3.00'], ['Baked goods', '1.00', '10.00'], ['Gravies', '10.00', '50.00'], ['Breakfast cereals', '1.00', '10.00'], ['Hard candy', '1.00', '5.00'], ['Cheese', '3.00', '20.00'], ['Imitation dairy', '1.00', '5.00'], ['Chewing gum', '0.50', '1.00'], ['Instant coffee, tea', '5.00', '50.00'], ['Confectionary, frosting', '1.00', '3.00'], ['Meat products', '50.00', '150.00'], ['Egg products', '50.00', '150.00'], ['Milk products', '1.00', '5.00'], ['Fats, oils', '2.00', '50.00'], ['Nonalcoholic beverages', '0.50', '1.50'], ['Fish products', '10.00', '50.00'], ['Poultry', '20.00', '100.00'], ['Frozen dairy', '0.70', '2.00'], ['Processed vegetables', '10.00', '50.00'], ['Fruit ices', '0.50', '1.50'], ['Soups', '10.00', '50.00'], ['Fruit juices', '2.00', '5.00']]","10 ppb",,H2S/34.08,"Hydrogen sulfide gas can be formed and released whenever waste containing sulfur is broken down by bacteria","Reported found in heated French beans, beef broth, vapors of canned beef, canned beef, beef extract, heated beef fat, raw beef, beer, bread, heated Brussels sprouts, cabbage, cooked celery, cheddar cheese, cooked and raw chicken, chives, heated coconut, codfish, ground and roast coffee, heated corn, heated egg, grapefruit juice, cooked herring, citrus juices, strawberry, cabbage, onion, potato, rutabaga, tomato, blue cheese, buttermilk, raw and boiled eggs, coffee, potato chips, rice, soybeans, okra, sweet corn, sake, squid, shrimps, cooked, fatty fish and other natural sources ",,,,,,,,,,,
"HYDROQUINONE MONOETHYL ETHER",,,"Phenol, 4-ethoxy; 4-Ethoxyphenol; p-Ethoxyphenol; 1-Hydroxy-4-hydroxybenzene; p-Hydroxy phenetole",622-62-8,4.037,3695,3695,2258,210-748-1,720,,"Hydroquinone monoethyl ether has a sweet herbaceous odor, which is reminiscent of anise and fennel ","<1.00 lb","0.00001415 mg/kg/day","1 ppm",,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2000)","1.504 mg",Artificial,"(JECFA, 2001); Appearance; White or colorless crystals; Melting point; 64°C; Assay (min); 95%; Solubility; Slightly soluble to soluble in water; ; soluble in oils; moderately soluble in ; alcohol; Boiling point; 246–247°C","(FEMA, 1994)","[['Baked goods', '5.00', '5.00'], ['Meat products', '0.50', '0.50'], ['Frozen dairy', '5.00', '5.00'], ['Nonalcoholic beverages', '5.00', '5.00'], ['Gelatins, puddings', '5.00', '5.00'], ['Soft candy', '5.00', '5.00']]",,,C8H10O2/138.17OHOCH3,,"Not reported found in nature",,,,,,,,,,,
2-HYDROXYACETOPHENONE,,,"Acetophenone, o-hydroxy-; Acetophenone, 2ʹ-hydroxy-; o-Acetylphenol; 2-Acetylphenol; Ethanone, 1-(2-hydroxy-phenyl)-; o-Hydroxyacetophenone; 2-Hydroxyacetophenone; 2ʹ-Hydroxyacetophenone; 1-(2-Hydroxyphenyl) ethanone; o-Hydroxyphenyl methyl ketone",118-93-4,7.124,3548,3548,11784,209-480-8,727,,"2-Hydroxyacetophenone has a sweet, heavy floral, herbaceous odor, reminiscent of mown hay or hawthorn ","<1.00 lb","0.00000001 mg/kg/day",,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2000)","0.027 mg","Nature Identical","(JECFA. 2000); Appearance; Colorless liquid; Refractive index; 1.556–1.560 (20°C); Assay (min); 95%; Solubility; Slightly soluble in water; soluble in ; fat; miscible in ethanol; Boiling point; 215–220°C; Specific gravity; 1.127–1.133 (25°C)","(FEMA, 1994)","[['Baked goods', '0.10', '0.20'], ['Poultry', '0.05', '0.10'], ['Condiments, relishes', '0.05', '0.10'], ['Seasonings, flavors', '0.05', '0.10'], ['Gravies', '0.05', '0.10'], ['Snack foods', '0.10', '0.20'], ['Instant coffee, tea', '0.05', '0.10'], ['Soups', '0.05', '0.10'], ['Meat products', '0.05', '0.10']]","phenolic, sharp, benzaldehyde, cherry pit, tropical, melon with a tobacco afternote ","Taste characteristics at 5.0 ppm; naphthyl, cinnamon, cherry pit, coumarin, phenolic, tobacco and honey ",C8H8O2/136.15,,"Reported found in beef, cassia oil, cocoa, cocoa powder, coffee, Jamaican rum, tomato, Scotch whiskey, sherry, tea, mountain papaya, papaya, roasted almond and black choke berry ",,,,,,,,,,,
4-HYDROXYACETOPHENONE,,,"1-(4-Hydroxyphenyl)-1-ethanone; 1-(4-Hydroxyphenyl)ethanone; 4-Acetophenol; 4-Acetylphenol; 4-Hydroxyphenyl methyl ketone; ; Piceol; 4-Hydroxyphenylethanone; Methyl 4-hydroxyphenyl ketone; Methyl p-hydroxy-phenyl ketone; p-Acetophenol; p-Acetylphenol; p-Hydroxyacetophenone; p-Hydroxyphenyl methyl ketone",99-93-4,7.243,4330,,,202-802-8,,,"White to beige powder; sweet, hawthorn, balsam, mimosa aroma ","Odor and/or flavor used in almond, baby powder, fir balsam, leather, vanilla, etc. ",,,,,,"0.155 mg",,"Assay (min); 99%; Melting point; 109–110°C ; Boiling point; 147–148°C (3 mmHg); Solubility; Insoluble in water; soluble in ethanol","(FEMA, 2007)","[['Alcoholic beverages', '1.00', '5.00'], ['Meat products', '0.01', '0.05'], ['Baked goods', '0.10', '0.50'], ['Milk products', '0.01', '0.05'], ['Cheese', '0.01', '0.05'], ['Nonalcoholic beverages', '1.00', '5.00'], ['Condiments, relishes', '0.01', '0.05'], ['Poultry', '0.01', '0.05'], ['Confectionery frostings', '1.00', '5.00'], ['Processed fruits', '0.01', '0.05'], ['Fish products', '0.01', '0.05'], ['Processed vegetables', '0.01', '0.05'], ['Frozen dairy', '0.01', '0.05'], ['Seasonings/flavors', '0.01', '0.05'], ['Fruit ices', '0.10', '0.50'], ['Snack foods', '0.01', '0.05'], ['Gelatins, puddings', '0.01', '0.05'], ['Soups', '0.01', '0.05'], ['Gravies', '0.01', '0.05'], ['Sweet sauces', '0.01', '0.05'], ['Imitation dairy', '0.01', '0.05']]","Floral type, medium strength odor; recommend smelling in a 10.00% solution or less ",,C8H8O2/136.15CH3OOH,,"Reported found in cloudberry, coffee, cranberry, mango, sherry, and wort ",,,,,,,,,,,
4-HYDROXYBENZALDEHYDE,,,"4-Formylphenol; p-Formylphenol; p-Hydroxybenzaldehyde; p-Oxybenzaldehyde",123-08-0,5.047,3984,,558,204-599-1,956,,"4-Hydroxybenzaldehyde has a very faint, sweet-woody-balsamic odor and a sweet taste with little or no other flavor impression. The odor is also reported as vanillic/nutty ",,,"Used provisionally. Beverages 5 ppm; Food 5 ppm",,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2001)","2.03 mg (FEMA)",,"(JECFA, 2001); Acid value (max) ; 2.0; Melting point; 116°C; Appearance; Beige powder; Solubility; Slightly soluble in water; soluble in ; organic solvents; freely soluble in ; alcohol; Assay (min); 99%","(FEMA, 2003)","[['Alcoholic beverages', '3.00', '20.00'], ['Fruit ices', '2.00', '20.00'], ['Baked goods', '5.00', '30.00'], ['Gelatins, puddings', '2.00', '20.00'], ['Breakfast cereal', '5.00', '30.00'], ['Hard candy', '5.00', '30.00'], ['Cheese', '5.00', '30.00'], ['Instant coffee, tea', '5.00', '20.00'], ['Chewing gum', '10.00', '50.00'], ['Jams, jellies', '5.00', '20.00'], ['Confectionary, frostings', '3.00', '20.00'], ['Milk products', '3.00', '20.00'], ['Egg products', '3.00', '20.00'], ['Nonalcoholic beverages', '1.00', '10.00'], ['Fats, oils', '2.00', '20.00'], ['Seasonings, flavors', '5.00', '30.00'], ['Frozen dairy', '5.00', '20.00'], ['Soft candy', '5.00', '20.00']]",,,C7H602/122.12OOH,"Prepared by heating sodium phenolate with carbon dioxide under pressure","It is found as a volatile in several food products, including cherries, grapes, papayas, tomatoes, cheese, beer, rum, brandy, wine, tea and peanuts. Occurs in the form of esters in several plants, notably in wintergreen leaves and the bark of sweet birch ",,,,,,,,,,,
"2-HYDROXYBENZOIC ACID",,,"Salicylic acid [USAN:JAN]; 2-Hydroxybenzoic acid; o-Hydroxybenzoic acid; Salicylic acid; Benzoic Acid; 2-hydroxy-; Orthohydroxybenzoic acid; 2-Carboxyphenol; 2-Hydroxybenzene carboxylic acid",69-72-7,8.112,3985,,10165,200-712-3,958,,"2-Hydroxybenzoic acid is odorless or has a slight phenolic odor with an acrid taste",,,,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2003)","1.36 mg (FEMA)",,"(JECFA, 2002); Appearance; White to faint-yellow crystalline; powder; Boiling Point; 211°C (20 mmHg); Assay (min); 99%; Solubility; Very slightly soluble in water; soluble ; in organic solvents; very soluble in ; alcohol","(FEMA, 2001)","[['Beverages (nonalcoholic)', '5.00', '50.00'], ['Fruit ices', '10', '100'], ['Beverages (alcoholic)', '10.00', '100.00'], ['Jams/jellies', '10', '100'], ['Frozen dairy', '10.00', '100.00'], ['Milk products', '5', '50']]",,,C7H603/138.12OHOHO,"Prepared by heating sodium phenolate with carbon dioxide under pressure","It is found as a volatile in several food products including cherry, grapes, papaya, tomato, cheese, beer, rum brandy, wine, tea and peanut. Occurs in the form of esters in several plants, notably in wintergreen leaves and the bark of sweet birch ",,,,,,,,,,,
"4-HYDROXYBENZOIC ACID",,,"p-Hydroxybenzoic acid;  p-Salicylic acid;  Kyselina. 4-hydroxybenzoova. (Czech);  Benzoic acid,. 4-hydroxy-; 4-Carboxyphenol",99-96-7,8.04,3986,,693,202-804-9,957,,"4-Hydroxybenzoic acid is an odorless white crystalline astringent powder. In pure form, it imparts a sweetish taste at first, which quickly becomes acrid and disagreeable ",,,,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2002)","13.777 mg (FEMA)",,"(JECFA, 2002); Appearance; White, crystalline powder; Loss on drying; 0.2% ; Assay (min); 99.5%; Melting point; 214–217°C; Density; 1.46; Solubility; Easily dissolves in hot water, alcohol, ; ether, acetone; slightly soluble in ; cold water, benzene; not soluble in ; carbon bisulfide","(FEMA, 2001)","[['Baked goods', '60.00', '360.00'], ['Frozen dairy', '50.00', '300.00'], ['Beverages (nonalcoholic)', '20.00', '100.00'], ['Fruit ices', '50.00', '300.00'], ['Beverages (alcoholic)', '50.00', '300.00'], ['Milk products', '50.00', '300.00'], ['Fats/oils', '30.00', '200.00'], ['Soft candy', '50.00', '300.00']]","Detection at 5 ppm (water)",,C7H603/138.12HOOOH,"Prepared from p-bromophenol or p-hydroxybenzaldehyde, or from saponification of methyl salicylate, a major component of oil of wintergreen ","Reportedly present in apple juice, black currant, cheese, beer, grape brandy, rum, sherry, wines, cocoa, peanut, soybean and wort ",,,,,,,,,,,
"4-HYDROXYBENZYL ALCOHOL",,,"(4-Hydroxyphenyl) methanol; p-(Hydroxymethyl) phenol; p-Hydroxybenzyl alcohol; 4-Hydroxybenzene methanol",0623-05-02,2.165,3987,,,210-768-0,955,,"4-Hydroxybenzyl alcohol is a white crystalline powder with slightly fruity-sweet coconut odor",,,,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2001)","1.64 mg (FEMA)",,"(JECFA, 2002); Appearance; White, crystalline powder; Melting point; 110–112°C; Assay (min); 99%; Solubility; Slightly soluble in water; soluble in ; organic solvents; soluble in ethanol; Identification test; IR spectrum","(FEMA, 2001)","[['Beverages (nonalcoholic)', '5.00', '25.00'], ['Fruit ices', '20.00', '100.00'], ['Frozen dairy', '20.00', '100.00'], ['Milk products', '15.00', '75.00']]",,,C7H802/124.14HOOH,"Prepared from p-cresol by using the microorganism, Pseudomonas putida ","Reportedly found in vanilla, Bourbon (Vanilla plantifolia Andrews) ",,,,,,,,,,,
1-HYDROXY-2-BUTANONE,,,"2-Oxo-1-butanol;  Propionyl. carbinol;  Ethyl. hydroxymethyl. ketone;  1-Butanol-2-one;  2-Butanone, 1-hydroxy-; 1-Hydroxy-2-butanone",5077-67-8,7.09,3173,3173,11102,225-790-6,1717,,,"<1.00 lb","0.00000061 mg/kg/day",,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2007)","3.003 mg","Nature Identical","(JECFA, 2008); Appearance; Colorless liquid; Refractive index; 1.417–1.423 (20°C); Assay (min); 90%; Solubility; Insoluble in water; soluble in alcohol ; and diethyl ether; Boiling point; 152–154°C; Specific gravity; 1.017–1.022 (20°C)","(FEMA, 1994)","[['Alcoholic beverages', '5.00', '10.00'], ['Meat products', '5.00', '30.00'], ['Baked goods', '12.50', '23.50'], ['Nonalcoholic beverages', '4.00', '14.33'], ['Frozen dairy', '5.67', '16.33'], ['Soft candy', '8.67', '24.33'], ['Gelatins, puddings', '6.00', '9.50']]",,"Taste characteristics at 30 ppm; brown, oily and alcoholic with toasted grain notes ",C4H8O2/88.11,"From 1-chlorobutan-2-one by hydrolysis or by heating the chloro compound with potassium formate in methanol; the ethyl ester may be prepared by bacterial oxidation of the corresponding glycol with Aspergillus niger","Reported found in coffee and mushrooms",,,,"The physical constants for commercial products vary, depending on the source and the method of preparation ",,,,,,,
"4-HYDROXY-2-BUTENOIC ACID GAMMA-LACTONE",,,"2(5H)-Furanone; Crotonic acid, 4-hydroxy-, γ -lactone; α, β-Crotonolactone; δ, α, β-Butenolide; γ-Crotolactone; γ-Crotonolactone; γ-Hydroxycrotonic acid lactone; 2,5-Dihydrofuranone; 2-Buten-4-olide; 2-Butenoic acid, 4-hydroxy-, γ-lactone; 2-Oxo-2,5-dihydrofuran; 4-Hydroxy-2-butenoic acid lactone; 5-Oxo-2,5-dihydrofuran-3-yl ester; Cratone; Isocrotonolactone; Furan-2(5H)-one",497-23-4,10.066,4138,,,207-839-3,,,"Colorless to pale brown-yellow clear liquid",,,,,,,"0.412 mg",Artificial,"(JECFA, 2008); Assay (min); 98%; Refractive index; 1.469 (20°C); Boiling point; 203–204°C ; Solubility; Soluble in water and ethanol; Melting point; 4.0–5.0°C ; Specific gravity; 1.185 (25°C)","(FEMA, 2005)","[['Alcoholic beverages', '3.50', '5.00'], ['Meat products', '3.80', '505.0']]",,,C4H4O2/84.07OO,,"Reported found in coffee",,,,,,,,,,,
